Name,Contact_Number,Gender,Age ,10th_percentage,Tenthth_Board,12th_percentage,12th_board,12th_field,Degree_Field,Degree_Percentage,History_Of_Backlogs,English_Test_Percentage,Department_Applied_To,MBA_Grade,Work_Experience,Salary_expectations_per_month
HINSON,9299440779,F,25,87,Central,17,Others,Science,BTECH,80,1,82,Technical,,3,4
EASTMAN,6756376444,M,22,89,Others,51,Others,Science,BTECH,70,0,74,Technical,,0,4
ROCK,8904973723,M,22,74,Central,65,Central,Science,BTECH,70,0,66,Technical,,0,5
HOOKS,7018696634,F,22,78,Central,62,Central,Science,BTECH,60,1,81,Technical,,0,4
WOODY,6816531861,F,22,78,Others,1,Others,Science,BTECH,80,0,46,Technical,,0,3
SMALLWOOD,8353816954,M,23,49,Central,49,Others,Science,BTECH,60,0,73,Technical,,1,5
SHAPIRO,8445322245,M,22,86,Central,36,Central,Science,BTECH,80,1,85,Technical,,0,1
CROWELL,8741128160,M,24,58,Others,20,Others,Science,BTECH,80,0,92,Technical,,2,4
WHALEN,6505818994,M,22,59,Central,28,Others,Science,BTECH,80,0,77,Technical,,0,2
TRIPLETT,8981592703,F,23,52,Others,38,Others,Science,BTECH,80,0,58,Technical,,1,4
HOOKER,8567666943,F,22,60,Central,65,Central,Science,BTECH,60,1,61,Technical,,0,5
CHATMAN,8891847211,M,23,61,Central,27,Others,Science,BTECH,60,1,56,Technical,,1,2
ALDRICH,7697361144,M,22,53,Others,52,Others,Science,BTECH,60,1,89,Technical,,0,2
CAHILL,9564440421,M,23,41,Others,31,Others,Science,BTECH,60,0,54,Technical,,1,3
YOUNGBLOOD,6504127312,M,22,74,Central,19,Central,Science,BTECH,70,0,100,Technical,,0,3
YBARRA,8661780109,M,22,67,Others,3,Others,Science,BTECH,60,1,65,Technical,,0,5
STALLINGS,8673340750,M,23,54,Others,88,Others,Science,BTECH,80,0,58,Technical,,1,3
SHEETS,7063957519,M,22,61,Others,79,Others,Science,BTECH,80,0,54,Technical,,0,1
SAMUEL,8698293417,M,23,88,Others,53,Others,Science,BTECH,80,0,70,Technical,,1,2
REEDER,8945348086,M,22,69,Others,79,Others,Science,BTECH,70,0,90,Technical,,0,1
PERSON,9241697254,M,23,83,Others,92,Others,Science,BTECH,70,1,58,Technical,,1,5
PACK,8187761031,M,23,60,Others,9,Others,Science,BTECH,60,0,87,Technical,,1,4
LACEY,9171264574,M,24,66,Central,84,Others,Science,BTECH,80,0,31,Technical,,2,2
CONNELLY,8250722907,M,23,66,Central,68,Others,Science,BTECH,80,1,67,Technical,,1,4
BATEMAN,8118835905,M,22,92,Others,38,Others,Science,BTECH,60,1,88,Technical,,0,5
ABERNATHY,7789717805,M,23,69,Central,37,Central,Science,BTECH,70,0,74,Technical,,1,3
WINKLER,7774794708,M,22,82,Central,38,Others,Science,BTECH,70,0,85,Technical,,0,3
WILKES,8093394741,M,22,77,Central,1,Others,Science,BTECH,80,0,69,Technical,,0,3
MASTERS,7957905605,M,22,95,Others,49,Others,Science,BTECH,70,0,86,Technical,,0,1
HACKETT,7215647768,M,22,63,Central,98,Central,Science,BTECH,60,0,67,Technical,,0,2
GRANGER,7494525141,F,22,83,Others,99,Others,Science,BTECH,70,0,90,Technical,,0,1
GILLIS,8422734807,M,23,100,Central,48,Central,Science,BTECH,80,0,76,Technical,,1,1
SCHMITZ,7527448967,M,25,67,Central,66,Central,Science,BTECH,60,0,62,Technical,,3,5
SAPP,7022531206,M,23,67,Central,80,Central,Science,BTECH,60,0,68,Technical,,1,2
NAPIER,9433016234,M,22,72,Others,30,Others,Science,BTECH,70,0,64,Technical,,0,4
SOUZA,9438326271,M,24,76,Central,9,Others,Science,BTECH,70,1,71,Technical,,2,2
LANIER,6557551507,M,22,90,Others,37,Central,Science,BTECH,60,0,71,Technical,,0,1
GOMES,7600990987,M,22,48,Others,75,Central,Science,BTECH,60,0,59,Technical,,0,1
WEIR,7124103016,M,23,62,Central,55,Central,Science,BTECH,60,0,68,Technical,,1,3
OTERO,7791881594,M,23,45,Central,87,Central,Science,BTECH,80,0,52,Technical,,1,3
LEDFORD,6908153392,F,23,39,Others,73,Others,Science,BTECH,80,0,52,Technical,,1,3
BURROUGHS,9251663794,M,25,72,Central,90,Central,Science,BTECH,60,0,74,Technical,,3,2
BABCOCK,7432584989,M,22,67,Others,97,Others,Science,BTECH,60,0,47,Technical,,0,1
VENTURA,8425542056,M,22,70,Others,49,Others,Science,BTECH,80,1,75,Technical,,0,5
SIEGEL,8342193533,M,23,66,Central,45,Central,Science,BTECH,60,0,53,Technical,,1,3
DUGAN,8937885653,F,23,75,Others,48,Others,Science,BTECH,60,0,82,Technical,,1,3
CLINTON,7858597849,M,22,74,Others,99,Others,Science,BTECH,80,0,85,Technical,,0,3
CHRISTIE,8503028863,M,23,90,Central,53,Others,Science,BTECH,70,0,64,Technical,,1,5
BLEDSOE,7213596334,M,23,80,Central,55,Central,Science,BTECH,80,0,83,Technical,,1,5
ATWOOD,9455046103,M,22,51,Others,5,Others,Science,BTECH,70,0,88,Technical,,0,3
WRAY,9298849820,M,22,43,Others,49,Others,Science,BTECH,80,0,64,Technical,,0,2
VARNER,7431119232,M,22,100,Others,60,Others,Science,BTECH,70,0,64,Technical,,0,5
SPANGLER,6489096033,M,24,71,Central,13,Central,Science,BTECH,80,1,48,Technical,,2,4
OTTO,7280691131,F,23,48,Central,37,Others,Science,BTECH,60,1,78,Technical,,1,2
ANAYA,9297694166,F,23,68,Central,48,Others,Science,BTECH,70,0,69,Technical,,1,2
STALEY,9449054207,M,23,75,Central,7,Central,Science,BTECH,80,0,71,Technical,,1,2
KRAFT,7166733515,M,23,96,Others,43,Others,Science,BTECH,80,0,79,Technical,,1,1
FOURNIER,8656498953,M,23,62,Others,72,Others,Science,BTECH,60,0,87,Technical,,1,2
EDDY,6506023215,M,23,66,Others,86,Others,Science,BTECH,60,0,61,Technical,,1,3
BELANGER,8340636258,M,23,81,Others,98,Others,Science,BTECH,70,0,89,Technical,,1,3
WOLFF,8082867558,M,23,55,Central,16,Others,Science,BTECH,70,0,59,Technical,,1,1
THORNE,9545432397,M,23,51,Others,28,Others,Science,BTECH,70,0,82,Technical,,1,2
BYNUM,6389528917,F,23,91,Central,98,Others,Science,BTECH,60,0,70,Technical,,1,1
BURNETTE,9154329453,M,22,56,Central,62,Central,Science,BTECH,80,0,59,Technical,,0,5
BOYKIN,6992435521,F,23,61,Central,73,Central,Science,BTECH,70,1,78,Technical,,1,5
SWENSON,8998379816,M,23,97,Central,20,Central,Science,BTECH,70,0,92,Technical,,1,3
PURVIS,8433855056,M,22,79,Others,62,Others,Science,BTECH,70,0,71,Technical,,0,3
PINA,7390743386,F,23,73,Others,60,Others,Science,BTECH,80,0,50,Technical,,1,1
KHAN,7812581412,M,23,75,Central,95,Central,Science,BTECH,70,0,49,Technical,,1,4
DUVALL,9151146675,M,24,77,Central,79,Central,Science,BTECH,70,0,61,Technical,,2,2
DARBY,9186924288,F,24,76,Central,63,Central,Science,BTECH,70,0,97,Technical,,2,2
XIONG,9178112037,M,23,73,Central,31,Central,Science,BTECH,60,1,87,Technical,,1,3
KAUFFMAN,6559969691,M,24,63,Central,36,Central,Science,BTECH,70,0,89,Technical,,2,5
ALI,8496469979,M,22,64,Central,83,Others,Science,BTECH,60,1,74,Technical,,0,4
YU,7477754762,M,22,66,Central,80,Central,Science,BTECH,60,0,78,Technical,,0,4
HEALY,8458057313,M,22,63,Central,49,Central,Science,BTECH,70,0,78,Technical,,0,4
ENGLE,7894291102,M,23,41,Central,99,Central,Science,BTECH,70,0,49,Technical,,1,3
CORONA,8970991924,M,23,61,Central,0,Central,Science,BTECH,60,0,86,Technical,,1,3
BENOIT,8777557617,M,22,49,Central,88,Central,Science,BTECH,80,1,58,Technical,,0,2
VALLE,7645754474,M,23,44,Central,43,Central,Science,BTECH,80,1,59,Technical,,1,5
STEINER,9582324417,M,22,30,Others,0,Others,Science,BTECH,70,0,52,Technical,,0,1
SPICER,9026231291,M,24,80,Others,19,Others,Science,BTECH,60,0,60,Technical,,2,3
SHAVER,8502653187,M,26,61,Others,78,Others,Commerce,MBA,60,0,61,Mkt&Fin,52,1,4
RANDLE,7045288326,M,22,62,Others,9,Others,Science,BTECH,60,0,53,Technical,,0,2
LUNDY,8519651255,F,23,47,Others,35,Others,Science,BTECH,70,1,41,Technical,,1,5
DOW,7385774641,M,26,49,Others,72,Others,Commerce,MBA,60,1,74,Mkt&Fin,56,1,5
CHIN,9528342885,M,22,50,Others,1,Central,Commerce,Commerce,60,0,67,Mkt&Fin,,1,1
CALVERT,7457508428,M,22,72,Others,93,Others,Science,BTECH,60,1,54,Technical,,0,3
STATON,8150277557,M,26,42,Others,50,Others,Commerce,MBA,60,0,61,Mkt&Fin,42,1,3
NEFF,8015848188,M,22,73,Others,78,Others,Commerce,Commerce,70,0,88,Mkt&Fin,,1,5
KEARNEY,8431864098,M,22,76,Central,8,Central,Science,BTECH,70,1,69,Technical,,0,1
DARDEN,6388682285,M,26,71,Central,45,Central,Commerce,MBA,80,0,83,Mkt&Fin,76,1,5
OAKLEY,8159928940,M,24,58,Central,80,Central,Commerce,MBA,80,0,60,Mkt&Fin,89,0,2
MEDEIROS,8082064681,F,23,73,Central,89,Central,Science,BTECH,70,1,66,Technical,,1,4
MCCRACKEN,7565553783,M,22,65,Others,47,Others,Science,BTECH,70,0,66,Technical,,0,1
CRENSHAW,6496403100,M,26,27,Others,5,Others,Commerce,MBA,70,0,92,Mkt&Fin,73,1,5
BLOCK,8142734098,F,23,71,Central,45,Central,Science,BTECH,80,1,69,Technical,,1,4
BEAVER,6356039802,M,24,43,Central,61,Central,Commerce,MBA,60,0,82,Mkt&Fin,77,0,5
PERDUE,8715228032,M,24,79,Central,36,Central,Commerce,MBA,80,0,77,Mkt&Fin,88,0,3
DILL,7386322929,F,24,78,Others,84,Others,Commerce,MBA,70,0,95,Mkt&Fin,53,0,1
WHITTAKER,7521948146,M,22,65,Others,67,Others,Science,BTECH,80,0,63,Technical,,0,3
TOBIN,7772391496,M,23,63,Central,85,Others,Science,BTECH,70,0,83,Technical,,1,3
CORNELIUS,6972618709,M,26,58,Others,60,Others,Commerce,MBA,60,1,100,Mkt&Fin,85,1,1
WASHBURN,8826598183,M,22,65,Others,93,Central,Science,BTECH,80,0,67,Technical,,0,3
HOGUE,6461740015,M,22,79,Others,76,Others,Science,BTECH,60,0,67,Technical,,0,4
GOODRICH,8355486305,M,24,68,Others,28,Others,Science,BTECH,70,1,72,Technical,,2,4
EASLEY,7529908085,M,21,85,Central,48,Central,Commerce,Commerce,70,1,76,Mkt&Fin,,0,2
BRAVO,7751823273,M,22,60,Others,70,Others,Science,BTECH,60,1,90,Technical,,0,2
DENNISON,7810283725,M,22,98,Central,83,Central,Science,BTECH,80,0,48,Technical,,0,3
VERA,9180882641,M,24,58,Others,89,Others,Commerce,MBA,70,1,62,Mkt&Fin,99,0,5
SHIPLEY,8928019952,M,22,87,Others,25,Others,Science,BTECH,80,0,45,Technical,,0,2
KERNS,8588827530,M,22,66,Central,70,Central,Science,BTECH,60,0,39,Technical,,0,4
JORGENSEN,7119735087,M,24,52,Central,26,Central,Commerce,MBA,80,0,72,Mkt&Fin,65,0,5
CRAIN,7979983046,M,22,70,Others,26,Others,Commerce,Commerce,60,0,67,Mkt&Fin,,1,5
ABEL,6381852232,M,22,77,Others,81,Others,Science,BTECH,70,0,70,Technical,,0,1
VILLALOBOS,8049809281,M,22,62,Central,77,Others,Science,BTECH,60,0,66,Technical,,0,4
MAURER,8404585786,M,21,54,Central,56,Others,Commerce,Commerce,70,0,75,Mkt&Fin,,0,2
LONGORIA,6725179727,M,21,51,Others,56,Others,Commerce,Commerce,80,0,74,Mkt&Fin,,0,4
KEENE,8658817162,M,24,99,Central,69,Central,Science,BTECH,70,0,90,Technical,,2,5
COON,6523380788,M,23,84,Central,63,Others,Science,BTECH,70,0,80,Technical,,1,1
SIERRA,8781787249,M,22,75,Central,62,Others,Science,BTECH,80,0,51,Technical,,0,3
WITHERSPOON,9173293515,M,22,78,Central,38,Central,Commerce,Commerce,70,0,43,Mkt&Fin,,1,4
STAPLES,8444182445,M,23,51,Central,88,Central,Science,BTECH,80,0,100,Technical,,1,5
PETTIT,7830409600,F,21,55,Others,49,Others,Commerce,Commerce,80,0,71,Mkt&Fin,,0,3
KINCAID,8569935206,M,21,79,Others,7,Others,Commerce,Commerce,60,0,48,Mkt&Fin,,0,2
EASON,7352622252,M,21,91,Others,89,Others,Commerce,Commerce,60,0,68,Mkt&Fin,,0,5
MADRID,8318472250,M,22,88,Others,96,Others,Science,BTECH,60,0,75,Technical,,0,4
ECHOLS,7859079041,M,22,63,Others,10,Others,Commerce,Commerce,70,0,96,Mkt&Fin,,1,4
LUSK,8434902004,M,23,83,Others,82,Others,Science,BTECH,80,0,62,Technical,,1,2
WU,7744780670,M,21,87,Central,37,Central,Commerce,Commerce,80,0,66,Mkt&Fin,,0,1
STAHL,8802266308,M,23,72,Central,93,Central,Science,BTECH,70,0,81,Technical,,1,3
CURRIE,6639804883,M,22,65,Others,90,Others,Commerce,Commerce,70,0,55,Mkt&Fin,,1,1
THAYER,8007177736,M,22,82,Others,60,Others,Science,BTECH,80,0,51,Technical,,0,3
SHULTZ,7052936792,M,22,51,Others,96,Others,Science,BTECH,80,0,91,Technical,,0,1
SHERWOOD,8949637335,M,23,89,Central,86,Others,Commerce,Commerce,60,1,56,Mkt&Fin,,2,1
MCNALLY,8026729570,F,22,53,Central,60,Central,Science,BTECH,60,0,61,Technical,,0,3
SEAY,8252240844,M,23,87,Central,21,Others,Science,BTECH,60,0,97,Technical,,1,2
NORTH,7560579299,M,24,75,Others,83,Central,Science,BTECH,50,0,79,Technical,,2,1
MAHER,7769270802,M,22,74,Others,87,Others,Commerce,Commerce,50,0,73,Mkt&Fin,,1,2
KENNY,8246280348,F,23,58,Others,25,Others,Science,BTECH,60,1,75,Technical,,1,3
HOPE,8065855418,F,21,51,Central,35,Central,Commerce,Commerce,50,0,77,Mkt&Fin,,0,3
GAGNE,7267624280,M,23,70,Others,20,Others,Science,BTECH,60,0,76,Technical,,1,4
BARROW,9367564443,M,23,59,Others,86,Others,Science,BTECH,50,0,73,Technical,,1,1
NAVA,6894283577,F,22,71,Central,7,Central,Science,BTECH,50,0,63,Technical,,0,4
MYLES,9313300789,M,21,76,Others,68,Others,Commerce,Commerce,50,0,64,Mkt&Fin,,0,5
MORELAND,8142558202,M,21,59,Central,14,Others,Commerce,Commerce,50,0,66,Mkt&Fin,,0,1
HONEYCUTT,6499330002,M,23,42,Others,85,Others,Commerce,Commerce,60,0,57,Mkt&Fin,,2,1
HEARN,9563203510,M,22,57,Others,15,Others,Science,BTECH,60,1,62,Technical,,0,5
DIGGS,7148663762,M,22,88,Central,29,Central,Science,BTECH,60,0,68,Technical,,0,4
CARON,6780846740,M,22,22,Central,41,Central,Commerce,Commerce,60,0,76,Mkt&Fin,,1,3
WHITTEN,8428366707,M,22,88,Others,18,Others,Commerce,Commerce,50,0,100,Mkt&Fin,,1,3
WESTBROOK,8778506703,M,24,73,Others,63,Others,Science,BTECH,50,0,79,Technical,,2,3
STOVALL,9320632080,M,21,68,Central,26,Central,Commerce,Commerce,50,0,24,Mkt&Fin,,0,2
RAGLAND,8506671074,M,22,100,Central,11,Central,Science,BTECH,50,0,54,Technical,,0,1
QUEEN,7568195544,M,22,62,Central,7,Central,Science,BTECH,50,0,77,Technical,,0,3
MUNSON,7573216923,M,23,77,Central,22,Central,Science,BTECH,60,0,82,Technical,,1,3
MEIER,7176632835,F,21,59,Central,61,Others,Commerce,Commerce,70,0,60,Mkt&Fin,,0,1
LOONEY,6997130927,F,23,54,Central,75,Central,Science,BTECH,70,0,29,Technical,,1,4
KIMBLE,8924650292,M,22,62,Central,51,Others,Commerce,Commerce,60,1,78,Mkt&Fin,,1,1
JOLLY,6887285612,F,23,70,Central,75,Central,Science,BTECH,70,0,57,Technical,,1,3
HOBSON,7269450218,F,23,66,Central,39,Others,Science,BTECH,70,1,89,Technical,,1,3
LONDON,6438423145,M,22,60,Others,74,Others,Science,BTECH,70,1,72,Technical,,0,1
GODDARD,9359863610,M,21,61,Central,79,Central,Commerce,Commerce,60,1,84,Mkt&Fin,,0,3
CULVER,8087487068,M,22,66,Others,46,Others,Science,BTECH,80,0,58,Technical,,0,2
BURR,8389077594,M,22,82,Central,1,Central,Science,BTECH,80,0,64,Technical,,0,1
PRESLEY,7967430321,M,22,75,Central,57,Others,Science,BTECH,70,1,63,Technical,,0,1
NEGRON,8635037628,F,22,49,Central,42,Others,Science,BTECH,80,1,60,Technical,,0,4
CONNELL,7489561625,M,21,52,Others,36,Others,Commerce,Commerce,70,0,59,Mkt&Fin,,0,3
TOVAR,7928577724,M,21,81,Others,53,Others,Commerce,Commerce,70,0,90,Mkt&Fin,,0,3
MARCUS,7793009229,M,22,96,Central,61,Central,Science,BTECH,70,0,77,Technical,,0,3
HUDDLESTON,6976049170,M,23,53,Central,85,Others,Science,BTECH,80,0,93,Technical,,1,2
HAMMER,7676029528,F,23,58,Central,10,Central,Science,BTECH,70,0,68,Technical,,1,3
ASHBY,8659151031,M,22,68,Others,20,Others,Commerce,Commerce,70,0,45,Mkt&Fin,,1,1
SALTER,6546324089,F,21,67,Others,8,Others,Commerce,Commerce,80,0,78,Mkt&Fin,,0,2
ROOT,6813588843,M,24,72,Others,40,Others,Science,BTECH,70,0,81,Technical,,2,5
PENDLETON,9048263007,F,22,94,Central,11,Others,Science,BTECH,70,1,73,Technical,,0,4
OLEARY,7939879227,M,24,79,Others,38,Others,Science,BTECH,80,0,61,Technical,,2,4
NICKERSON,6905481631,M,21,63,Central,73,Central,Commerce,Commerce,70,0,63,Mkt&Fin,,0,3
MYRICK,8110556302,M,22,43,Others,86,Others,Science,BTECH,80,0,51,Technical,,0,5
JUDD,9292011062,M,22,81,Central,24,Central,Commerce,Commerce,80,0,96,Mkt&Fin,,1,2
JACOBSEN,8153208136,M,23,46,Central,16,Central,Science,BTECH,80,0,58,Technical,,1,4
ELLIOT,9588658960,M,22,71,Others,7,Others,Science,BTECH,80,0,97,Technical,,0,2
BAIN,7334168952,M,22,52,Central,78,Others,Commerce,Commerce,70,0,70,Mkt&Fin,,1,4
ADAIR,9360132129,M,22,97,Central,71,Central,Science,BTECH,80,0,48,Technical,,0,1
STARNES,8285094721,M,23,62,Others,27,Others,Science,BTECH,80,1,57,Technical,,1,2
SHELDON,7083867806,M,22,46,Central,53,Central,Commerce,Commerce,70,0,51,Mkt&Fin,,1,4
MATOS,8063122951,M,22,50,Central,13,Central,Science,BTECH,70,1,64,Technical,,0,5
LIGHT,9303450525,M,22,65,Others,49,Others,Commerce,Commerce,80,0,60,Mkt&Fin,,1,3
BUSBY,8966819312,M,22,45,Others,38,Others,Science,BTECH,60,0,74,Technical,,0,2
HERNDON,9274914790,M,23,65,Central,72,Central,Science,BTECH,70,0,88,Technical,,1,1
HANLEY,7747175928,M,23,80,Central,68,Others,Science,BTECH,80,0,84,Technical,,1,4
BELLAMY,7181861373,F,24,62,Central,6,Others,Science,BTECH,70,0,74,Technical,,2,1
JACK,6649374279,F,21,48,Others,42,Others,Commerce,Commerce,60,0,80,Mkt&Fin,,0,2
DOTY,6866561165,M,21,77,Others,68,Others,Commerce,Commerce,60,0,92,Mkt&Fin,,0,3
BARTLEY,8987076316,M,24,66,Central,80,Others,Commerce,Commerce,80,0,76,Mkt&Fin,,3,4
YAZZIE,8777051092,M,23,76,Central,41,Others,Science,BTECH,80,0,74,Technical,,1,3
ROWELL,9017628146,M,21,62,Central,26,Others,Commerce,Commerce,70,1,52,Mkt&Fin,,0,4
PARSON,9552545346,M,22,77,Central,5,Central,Science,BTECH,80,0,88,Technical,,0,2
GIFFORD,6939079183,M,21,69,Others,23,Central,Commerce,Commerce,80,1,81,Mkt&Fin,,0,3
CULLEN,9080892612,M,21,61,Others,26,Others,Commerce,Commerce,60,0,79,Mkt&Fin,,0,3
CHRISTIANSEN,7038607869,F,22,59,Central,10,Central,Science,BTECH,80,0,65,Technical,,0,1
BENAVIDES,9232802133,M,23,55,Central,91,Others,Science,BTECH,80,0,81,Technical,,1,4
BARNHART,8044027050,M,23,45,Central,21,Central,Commerce,Commerce,60,0,70,Mkt&Fin,,2,3
TALBOT,6989288065,M,22,78,Central,88,Others,Science,BTECH,70,1,62,Technical,,0,2
MOCK,8517461907,M,21,67,Others,60,Others,Commerce,Commerce,70,0,53,Mkt&Fin,,0,5
CRANDALL,8261660007,M,22,65,Others,27,Others,Science,BTECH,60,0,79,Technical,,0,2
CONNORS,9506546477,M,22,69,Others,29,Others,Science,BTECH,80,0,56,Technical,,0,5
BONDS,9550329761,M,22,57,Central,72,Others,Commerce,Commerce,70,0,80,Mkt&Fin,,1,5
WHITT,8208078339,M,22,59,Central,71,Central,Science,BTECH,60,0,86,Technical,,0,3
GAGE,9462525905,M,22,74,Central,7,Central,Science,BTECH,70,0,70,Technical,,0,1
BERGMAN,6467864790,M,23,82,Central,22,Central,Science,BTECH,80,0,79,Technical,,1,2
ARREDONDO,6478229512,M,21,81,Central,30,Central,Commerce,Commerce,80,1,67,Mkt&Fin,,0,2
ADDISON,6578511936,M,24,74,Central,14,Central,Science,BTECH,70,0,67,Technical,,2,2
MARION,7166541530,F,22,58,Others,81,Central,Science,BTECH,60,0,66,Technical,,0,2
LUJAN,8043070696,M,23,80,Others,89,Others,Science,BTECH,80,1,60,Technical,,1,4
DOWDY,8963259003,M,22,35,Central,4,Others,Science,BTECH,60,0,87,Technical,,0,5
JERNIGAN,8254757517,F,23,42,Others,98,Others,Science,BTECH,70,0,77,Technical,,1,4
HUYNH,7316867058,M,24,60,Central,39,Central,Science,MED,70,0,66,Teaching,,0,1
BOUCHARD,8158730635,M,21,87,Central,86,Central,Commerce,Commerce,70,0,71,Mkt&Fin,,0,5
DUTTON,8015736932,M,22,84,Others,27,Others,Commerce,Commerce,80, ,69,Mkt&Fin,,1,5
RHOADES,7410647824,M,22,83,Central,42,Others,Commerce,BBA,80,1,63,Mkt&Fin,,1,3
OUELLETTE,8802885415,M,21,34,Central,10,Central,Commerce,Commerce,60,0,60,Mkt&Fin,,0,4
KISER,7208656622,M,26,66,Others,21,Others,Science,MED,80,0,73,Teaching,,1,3
RUBIN,7796539485,M,20,61,Central,25,Others,Science,BTECH,70,0,85,Teaching,72,0,2
HERRINGTON,6394843491,M,22,56,Others,26,Others,Commerce,Commerce,60,0,74,Mkt&Fin,,1,3
HARE,9244981579,M,21,87,Central,1,Central,Commerce,BBA,60,0,72,Mkt&Fin,,0,4
DENNY,8374977887,M,21,55,Central,96,Others,Commerce,BBA,80,0,76,Mkt&Fin,,0,3
BLACKMAN,7540145857,F,21,86,Others,3,Others,Science,BTECH,80,0,57,Teaching,78,1,5
BABB,8247847153,F,24,52,Others,97,Others,Science,MED,80,0,78,Teaching,,0,2
ALLRED,7337993018,F,21,45,Central,2,Central,Commerce,BBA,80,1,84,Mkt&Fin,,0,4
RUDD,7553958504,M,21,72,Others,8,Others,Commerce,BBA,60,0,77,Mkt&Fin,,0,2
PAULSON,6978182160,F,24,57,Others,9,Others,Science,BTECH,80,0,64,Teaching,89,0,3
OGDEN,7511106426,F,22,68,Others,93,Others,Commerce,BBA,60,0,78,Mkt&Fin,,1,4
KOENIG,9404631730,M,21,88,Others,44,Others,Commerce,Commerce,80,0,82,Mkt&Fin,,0,4
JACOB,9310968928,M,23,76,Others,45,Others,Science,BTECH,80,0,75,Teaching,45,1,1
IRVING,6561305195,M,22,46,Others,96,Others,Commerce,BBA,80,0,61,Mkt&Fin,,1,4
GEIGER,9345617995,M,21,67,Others,49,Others,Commerce,BBA,60,0,72,Mkt&Fin,,0,5
BEGAY,9194974852,M,24,92,Central,75,Others,Science,BTECH,60,0,68,Teaching,84,0,5
PARRA,9177647576,M,24,83,Central,84,Others,Science,BTECH,60,0,55,Teaching,67,1,2
CHAMPION,8802220951,M,22,80,Others,92,Others,Commerce,BBA,80,0,40,Mkt&Fin,,1,2
LASSITER,6920462000,M,20,63,Central,17,Central,Science,BTECH,60,0,66,Teaching,60,0,4
HAWK,8377472019,M,21,64,Central,11,Others,Commerce,BBA,80,0,99,Mkt&Fin,,0,2
ESPOSITO,6994726002,M,21,54,Central,26,Others,Commerce,BBA,60,1,75,Mkt&Fin,,0,3
CHO,6986140525,M,21,84,Others,36,Others,Commerce,Commerce,60,0,78,Mkt&Fin,,0,1
WALDRON,7360058291,F,24,73,Central,70,Central,Science,BTECH,60,0,58,Teaching,48,0,2
VERNON,7573630498,M,21,80,Others,87,Others,Science,BTECH,70,0,90,Teaching,70,0,5
RANSOM,7080132336,F,22,56,Central,72,Central,Commerce,BBA,70,0,53,Mkt&Fin,,1,3
PRATHER,9090989550,M,22,59,Central,79,Central,Science,BTECH,60,0,76,Teaching,89,0,4
KEENAN,6676739268,M,27,75,Central,67,Central,Science,MED,80,1,74,Teaching,,2,1
JEAN,9505500717,M,22,85,Others,6,Others,Science,BTECH,60,0,77,Teaching,70,1,2
GROVER,6724711554,M,21,89,Central,41,Others,Commerce,Commerce,70,0,63,Mkt&Fin,,0,5
CHACON,7743194990,M,24,58,Others,61,Central,Science,MED,70,0,89,Teaching,,0,4
VICK,7290933682,M,22,65,Others,53,Central,Science,BTECH,60,0,82,Teaching,81,0,3
SANDS,8967760767,M,21,68,Central,8,Central,Commerce,BBA,60,0,72,Mkt&Fin,,0,3
ROARK,7770188414,M,22,47,Central,59,Central,Science,BTECH,70,1,78,Teaching,56,0,5
PARR,9246302953,M,23,71,Others,91,Others,Science,BTECH,60,0,66,Teaching,56,0,4
MAYBERRY,6610821877,F,22,60,Central,26,Central,Commerce,BBA,50,0,81,Mkt&Fin,,1,5
GREENBERG,9458939606,F,22,80,Others,79,Others,Commerce,BBA,50,0,67,Mkt&Fin,,1,3
COLEY,9564833105,F,20,54,Others,80,Others,Science,BTECH,50,0,84,Teaching,62,0,4
BRUNER,9360441096,M,24,62,Central,15,Central,Science,MED,50,0,64,Teaching,,0,5
WHITMAN,8393382040,F,23,64,Others,65,Others,Commerce,BBA,50,0,63,Mkt&Fin,,2,5
SKAGGS,8600330700,M,21,78,Others,20,Others,Commerce,BBA,60,0,72,Mkt&Fin,,0,5
SHIPMAN,7453929800,M,26,70,Central,40,Others,Science,MED,60,0,34,Teaching, ,1,3
MEANS,8544398979,F,23,65,Central,63,Central,Science,BTECH,50,0,59,Teaching,89,0,5
LEARY,8318257498,M,22,64,Others,27,Others,Science,BTECH,60,0,87,Teaching,96,1,3
HUTTON,8250126141,F,22,79,Others,84,Others,Commerce,Commerce,50,0,61,Mkt&Fin,,1,2
ROMO,7284082438,M,22,44,Others,24,Others,Science,BTECH,50,0,84,Teaching,82,1,1
MEDRANO,8483118582,M,22,99,Central,75,Central,Commerce,BBA,60,0,85,Mkt&Fin,,1,4
LADD,9146563088,M,21,76,Central,99,Others,Commerce,BBA,50, ,100,Mkt&Fin,,0,3
KRUSE,8224995778,F,22,59,Central,23,Others,Commerce,BBA,50,1,81,Mkt&Fin,,1,5
FRIEND,8392233280,M,22,63,Central,70,Central,Science,BTECH,50,0,70,Teaching,60,0,4
DARLING,6574140942,M,22,69,Others,49,Others,Commerce,BBA,50,0,94,Mkt&Fin,,1,2
ASKEW,8231673440,M,23,88,Others,5,Others,Science,BTECH,50,0,78,Teaching,86,1,3
VALENTIN,9574538113,M,21,71,Others,14,Others,Commerce,BBA,50,0,96,Mkt&Fin,,0,5
SCHULZ,9078060227,F,24,69,Others,89,Others,Science,MED,60,0,76,Teaching,,0,3
ALFARO,8428417891,M,21,58,Central,85,Others,Commerce,BBA,60,0,73,Mkt&Fin,,0,3
